ip,port,protocol,q_ui_c_handshake_duration,q_ui_c_negotiated_protocol,q_ui_c_used0_rtt,q_ui_c_error,http_version,query_time,total_time,r_code,response_ip,response_ttl,error,vp
117.88.57.236,784,quic,74323215,doq-i02,0,,,72198946,146555993,0,67.225.146.248,1809,,singapore
34.216.213.52,784,quic,341491029,doq-i03,0,,,182098713,523636814,0,67.225.146.248,3585,,singapore
34.216.213.52,784,quic,926622,doq-i03,1,,,174805271,345499523,0,67.225.146.248,3583,,singapore
51.89.26.38,784,quic,1796095440,doq-i03,0,,,285735163,2081881235,0,67.225.146.248,2514,,singapore
51.89.26.38,784,quic,817116,doq-i03,1,,,289420568,1434298023,0,67.225.146.248,2511,,singapore
94.140.15.16,784,quic,7288461,doq-i03,0,,,2692036,10015001,0,67.225.146.248,3348,,singapore
94.140.15.16,784,quic,4232537,doq-i03,0,,,2594430,6860919,0,67.225.146.248,3347,,singapore
94.140.15.16,8853,quic,7461057,doq-i03,0,,,2788415,10282627,0,67.225.146.248,3345,,singapore
94.140.15.16,8853,quic,8857571,doq-i03,0,,,2606023,11498657,0,67.225.146.248,3343,,singapore
94.140.15.16,853,quic,5718759,doq-i03,0,,,1911678,7662846,0,67.225.146.248,3342,,singapore
94.140.15.16,853,quic,3631228,doq-i03,0,,,1838498,5510076,0,67.225.146.248,3340,,singapore
50.7.14.7,784,quic,185271393,doq-i03,0,,,89002477,274313137,0,67.225.146.248,1854,,singapore
50.7.14.7,784,quic,894092,doq-i03,1,,,88651728,179594375,0,67.225.146.248,1853,,singapore
31.44.0.4,784,quic,750770705,doq-i03,0,,,273016711,1023838375,0,67.225.146.248,2677,,singapore
103.227.141.70,784,quic,54870221,doq-i03,0,,,23321782,78224511,0,67.225.146.248,3300,,singapore
103.227.141.70,784,quic,858260,doq-i03,1,,,22656338,49604029,0,67.225.146.248,3299,,singapore
31.44.0.4,784,quic,275209708,doq-i03,0,,,272778773,548025991,0,67.225.146.248,2674,,singapore
